,DataSetName,NominalEncoder,OrdinalEncoder,Score,Roc_auc_score
120,Adult,LabelEncoder,BinaryEncoder,0.7993835432859823,0.7341699771277236
121,Adult,LabelEncoder,HelmertEncoder,0.799249530956848,0.7351718931824566
122,Adult,LabelEncoder,LabelEncoder,0.802130796033235,0.7378133652341399
123,Adult,LabelEncoder,JamesSteinEncoder,0.8007906727418923,0.7365594027125717
124,Adult,LabelEncoder,BaseNEncoder,0.7993835432859823,0.7341699771277236
125,Adult,LabelEncoder,HashingEncoder,0.8014607343875637,0.73827733136712
126,Adult,LabelEncoder,SumEncoder,0.799718574108818,0.7361198888487621
127,Adult,LabelEncoder,OneHotEncoder,0.7987134816403109,0.7356339783716546
128,Adult,LabelEncoder,FrequencyEncoder,0.8005226480836237,0.7351085680751175
129,Adult,LabelEncoder,TargetEncoder,0.8007906727418923,0.7365594027125717
130,Adult,JamesSteinEncoder,BinaryEncoder,0.8115116590726347,0.750136681914851
131,Adult,JamesSteinEncoder,HelmertEncoder,0.8090324309836505,0.747671391597448
132,Adult,JamesSteinEncoder,LabelEncoder,0.810707585097829,0.7511480026884956
133,Adult,JamesSteinEncoder,JamesSteinEncoder,0.8105065666041276,0.7488325608924202
134,Adult,JamesSteinEncoder,BaseNEncoder,0.8115116590726347,0.750136681914851
135,Adult,JamesSteinEncoder,HashingEncoder,0.8091664433127848,0.7474876860880382
136,Adult,JamesSteinEncoder,SumEncoder,0.8086974001608148,0.7471760764014284
137,Adult,JamesSteinEncoder,OneHotEncoder,0.8118466898954704,0.7509047339593113
138,Adult,JamesSteinEncoder,FrequencyEncoder,0.8079603323505763,0.7468682286023836
139,Adult,JamesSteinEncoder,TargetEncoder,0.8105065666041276,0.7488325608924202
140,Adult,BaseNEncoder,BinaryEncoder,0.8052130796033236,0.7418611562537618
141,Adult,BaseNEncoder,HelmertEncoder,0.8019967837041008,0.7389971058545003
142,Adult,BaseNEncoder,LabelEncoder,0.8048110426159206,0.7423213604991773
143,Adult,BaseNEncoder,JamesSteinEncoder,0.8044090056285178,0.7406905822398779
144,Adult,BaseNEncoder,BaseNEncoder,0.8052130796033236,0.7418611562537618
145,Adult,BaseNEncoder,HashingEncoder,0.8038059501474135,0.7403808534970507
146,Adult,BaseNEncoder,SumEncoder,0.8020637898686679,0.7385870601099475
147,Adult,BaseNEncoder,OneHotEncoder,0.8015277405521308,0.7376854610569399
148,Adult,BaseNEncoder,FrequencyEncoder,0.8024658268560707,0.7412178734801975
149,Adult,BaseNEncoder,TargetEncoder,0.8044090056285178,0.7406905822398779
150,Adult,HashingEncoder,BinaryEncoder,0.7963012597158938,0.7305767475221701
