,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Cardinality,Score
201,bridges,IDENTIF,Nominal,BaseNEncoder,,106,0.6285714285714286
202,bridges,IDENTIF,Nominal,SumEncoder,,106,0.6571428571428571
203,bridges,IDENTIF,Nominal,JamesSteinEncoder,,106,0.6857142857142857
204,bridges,IDENTIF,Nominal,FrequencyEncoder,,106,0.6857142857142857
205,bridges,IDENTIF,Nominal,TargetEncoder,,106,0.6857142857142857
206,bridges,IDENTIF,Nominal,BinaryEncoder,,106,0.6285714285714286
207,bridges,IDENTIF,Nominal,HelmertEncoder,,106,0.6571428571428571
208,bridges,IDENTIF,Nominal,OneHotEncoder,,106,0.6571428571428571
209,bridges,IDENTIF,Nominal,HashingEncoder,,106,0.6571428571428571
210,bridges,REL-L,Nominal,LabelEncoder,,3,0.6571428571428571
211,bridges,REL-L,Nominal,BaseNEncoder,,3,0.6857142857142857
212,bridges,REL-L,Nominal,SumEncoder,,3,0.6857142857142857
213,bridges,REL-L,Nominal,JamesSteinEncoder,,3,0.6571428571428571
214,bridges,REL-L,Nominal,FrequencyEncoder,,3,0.6571428571428571
215,bridges,REL-L,Nominal,TargetEncoder,,3,0.6571428571428571
216,bridges,REL-L,Nominal,BinaryEncoder,,3,0.6857142857142857
217,bridges,REL-L,Nominal,HelmertEncoder,,3,0.6857142857142857
218,bridges,REL-L,Nominal,OneHotEncoder,,3,0.6571428571428571
219,bridges,REL-L,Nominal,HashingEncoder,,3,0.6857142857142857
220,bridges,PURPOSE,Nominal,LabelEncoder,,4,0.7428571428571429
221,bridges,PURPOSE,Nominal,BaseNEncoder,,4,0.6857142857142857
222,bridges,PURPOSE,Nominal,SumEncoder,,4,0.7428571428571429
223,bridges,PURPOSE,Nominal,JamesSteinEncoder,,4,0.7428571428571429
224,bridges,PURPOSE,Nominal,FrequencyEncoder,,4,0.6857142857142857
225,bridges,PURPOSE,Nominal,TargetEncoder,,4,0.7428571428571429
226,bridges,PURPOSE,Nominal,BinaryEncoder,,4,0.6857142857142857
227,bridges,PURPOSE,Nominal,HelmertEncoder,,4,0.7428571428571429
228,bridges,PURPOSE,Nominal,OneHotEncoder,,4,0.7428571428571429
229,bridges,PURPOSE,Nominal,HashingEncoder,,4,0.7428571428571429
230,bridges,T-OR-D,Nominal,LabelEncoder,,2,0.6571428571428571
