,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Score,nuuniquevalues
111,heart,sex,Nominal,JamesSteinEncoder,JamesSteinEncoder,0.74,2.0
112,heart,sex,Nominal,JamesSteinEncoder,SumEncoder,0.74,2.0
113,heart,sex,Nominal,JamesSteinEncoder,HashingEncoder,0.74,2.0
114,heart,sex,Nominal,JamesSteinEncoder,LabelEncoder,0.74,2.0
115,heart,sex,Nominal,JamesSteinEncoder,TargetEncoder,0.74,2.0
116,heart,sex,Nominal,JamesSteinEncoder,HelmertEncoder,0.74,2.0
117,heart,sex,Nominal,JamesSteinEncoder,FrequencyEncoder,0.75,2.0
118,heart,sex,Nominal,JamesSteinEncoder,BaseNEncoder,0.74,2.0
119,heart,sex,Nominal,JamesSteinEncoder,OneHotEncoder,0.74,2.0
120,heart,sex,Nominal,SumEncoder,BinaryEncoder,0.74,2.0
121,heart,sex,Nominal,SumEncoder,JamesSteinEncoder,0.74,2.0
122,heart,sex,Nominal,SumEncoder,SumEncoder,0.74,2.0
123,heart,sex,Nominal,SumEncoder,HashingEncoder,0.74,2.0
124,heart,sex,Nominal,SumEncoder,LabelEncoder,0.74,2.0
125,heart,sex,Nominal,SumEncoder,TargetEncoder,0.74,2.0
126,heart,sex,Nominal,SumEncoder,HelmertEncoder,0.74,2.0
127,heart,sex,Nominal,SumEncoder,FrequencyEncoder,0.75,2.0
128,heart,sex,Nominal,SumEncoder,BaseNEncoder,0.74,2.0
129,heart,sex,Nominal,SumEncoder,OneHotEncoder,0.74,2.0
130,heart,sex,Nominal,HashingEncoder,BinaryEncoder,0.74,2.0
131,heart,sex,Nominal,HashingEncoder,JamesSteinEncoder,0.74,2.0
132,heart,sex,Nominal,HashingEncoder,SumEncoder,0.74,2.0
133,heart,sex,Nominal,HashingEncoder,HashingEncoder,0.74,2.0
134,heart,sex,Nominal,HashingEncoder,LabelEncoder,0.74,2.0
135,heart,sex,Nominal,HashingEncoder,TargetEncoder,0.74,2.0
136,heart,sex,Nominal,HashingEncoder,HelmertEncoder,0.74,2.0
137,heart,sex,Nominal,HashingEncoder,FrequencyEncoder,0.75,2.0
138,heart,sex,Nominal,HashingEncoder,BaseNEncoder,0.74,2.0
139,heart,sex,Nominal,HashingEncoder,OneHotEncoder,0.74,2.0
140,heart,sex,Nominal,LabelEncoder,BinaryEncoder,0.74,2.0
141,heart,sex,Nominal,LabelEncoder,JamesSteinEncoder,0.74,2.0
142,heart,sex,Nominal,LabelEncoder,SumEncoder,0.74,2.0
143,heart,sex,Nominal,LabelEncoder,HashingEncoder,0.74,2.0
144,heart,sex,Nominal,LabelEncoder,LabelEncoder,0.74,2.0
145,heart,sex,Nominal,LabelEncoder,TargetEncoder,0.74,2.0
146,heart,sex,Nominal,LabelEncoder,HelmertEncoder,0.74,2.0
147,heart,sex,Nominal,LabelEncoder,FrequencyEncoder,0.75,2.0
148,heart,sex,Nominal,LabelEncoder,BaseNEncoder,0.74,2.0
149,heart,sex,Nominal,LabelEncoder,OneHotEncoder,0.74,2.0
150,heart,sex,Nominal,TargetEncoder,BinaryEncoder,0.74,2.0
151,heart,sex,Nominal,TargetEncoder,JamesSteinEncoder,0.74,2.0
152,heart,sex,Nominal,TargetEncoder,SumEncoder,0.74,2.0
153,heart,sex,Nominal,TargetEncoder,HashingEncoder,0.74,2.0
154,heart,sex,Nominal,TargetEncoder,LabelEncoder,0.74,2.0
155,heart,sex,Nominal,TargetEncoder,TargetEncoder,0.74,2.0
156,heart,sex,Nominal,TargetEncoder,HelmertEncoder,0.74,2.0
157,heart,sex,Nominal,TargetEncoder,FrequencyEncoder,0.75,2.0
158,heart,sex,Nominal,TargetEncoder,BaseNEncoder,0.74,2.0
159,heart,sex,Nominal,TargetEncoder,OneHotEncoder,0.74,2.0
160,heart,sex,Nominal,HelmertEncoder,BinaryEncoder,0.74,2.0
161,heart,sex,Nominal,HelmertEncoder,JamesSteinEncoder,0.74,2.0
162,heart,sex,Nominal,HelmertEncoder,SumEncoder,0.74,2.0
163,heart,sex,Nominal,HelmertEncoder,HashingEncoder,0.74,2.0
164,heart,sex,Nominal,HelmertEncoder,LabelEncoder,0.74,2.0
165,heart,sex,Nominal,HelmertEncoder,TargetEncoder,0.74,2.0
166,heart,sex,Nominal,HelmertEncoder,HelmertEncoder,0.74,2.0
167,heart,sex,Nominal,HelmertEncoder,FrequencyEncoder,0.75,2.0
168,heart,sex,Nominal,HelmertEncoder,BaseNEncoder,0.74,2.0
169,heart,sex,Nominal,HelmertEncoder,OneHotEncoder,0.74,2.0
170,heart,sex,Nominal,FrequencyEncoder,BinaryEncoder,0.74,2.0
171,heart,sex,Nominal,FrequencyEncoder,JamesSteinEncoder,0.74,2.0
172,heart,sex,Nominal,FrequencyEncoder,SumEncoder,0.74,2.0
173,heart,sex,Nominal,FrequencyEncoder,HashingEncoder,0.74,2.0
174,heart,sex,Nominal,FrequencyEncoder,LabelEncoder,0.74,2.0
175,heart,sex,Nominal,FrequencyEncoder,TargetEncoder,0.74,2.0
176,heart,sex,Nominal,FrequencyEncoder,HelmertEncoder,0.74,2.0
177,heart,sex,Nominal,FrequencyEncoder,FrequencyEncoder,0.75,2.0
178,heart,sex,Nominal,FrequencyEncoder,BaseNEncoder,0.74,2.0
179,heart,sex,Nominal,FrequencyEncoder,OneHotEncoder,0.74,2.0
180,heart,sex,Nominal,BaseNEncoder,BinaryEncoder,0.74,2.0
181,heart,sex,Nominal,BaseNEncoder,JamesSteinEncoder,0.74,2.0
182,heart,sex,Nominal,BaseNEncoder,SumEncoder,0.74,2.0
183,heart,sex,Nominal,BaseNEncoder,HashingEncoder,0.74,2.0
184,heart,sex,Nominal,BaseNEncoder,LabelEncoder,0.74,2.0
185,heart,sex,Nominal,BaseNEncoder,TargetEncoder,0.74,2.0
186,heart,sex,Nominal,BaseNEncoder,HelmertEncoder,0.74,2.0
187,heart,sex,Nominal,BaseNEncoder,FrequencyEncoder,0.75,2.0
188,heart,sex,Nominal,BaseNEncoder,BaseNEncoder,0.74,2.0
189,heart,sex,Nominal,BaseNEncoder,OneHotEncoder,0.74,2.0
190,heart,sex,Nominal,OneHotEncoder,BinaryEncoder,0.74,2.0
191,heart,sex,Nominal,OneHotEncoder,JamesSteinEncoder,0.74,2.0
192,heart,sex,Nominal,OneHotEncoder,SumEncoder,0.74,2.0
193,heart,sex,Nominal,OneHotEncoder,HashingEncoder,0.74,2.0
194,heart,sex,Nominal,OneHotEncoder,LabelEncoder,0.74,2.0
195,heart,sex,Nominal,OneHotEncoder,TargetEncoder,0.74,2.0
196,heart,sex,Nominal,OneHotEncoder,HelmertEncoder,0.74,2.0
197,heart,sex,Nominal,OneHotEncoder,FrequencyEncoder,0.75,2.0
198,heart,sex,Nominal,OneHotEncoder,BaseNEncoder,0.74,2.0
199,heart,sex,Nominal,OneHotEncoder,OneHotEncoder,0.74,2.0
200,heart,cp,Nominal,BinaryEncoder,BinaryEncoder,0.74,4.0
201,heart,cp,Nominal,BinaryEncoder,JamesSteinEncoder,0.74,4.0
202,heart,cp,Nominal,BinaryEncoder,SumEncoder,0.74,4.0
203,heart,cp,Nominal,BinaryEncoder,HashingEncoder,0.74,4.0
204,heart,cp,Nominal,BinaryEncoder,LabelEncoder,0.74,4.0
205,heart,cp,Nominal,BinaryEncoder,TargetEncoder,0.74,4.0
206,heart,cp,Nominal,BinaryEncoder,HelmertEncoder,0.74,4.0
207,heart,cp,Nominal,BinaryEncoder,FrequencyEncoder,0.75,4.0
208,heart,cp,Nominal,BinaryEncoder,BaseNEncoder,0.74,4.0
209,heart,cp,Nominal,BinaryEncoder,OneHotEncoder,0.74,4.0
210,heart,cp,Nominal,JamesSteinEncoder,BinaryEncoder,0.74,4.0
211,heart,cp,Nominal,JamesSteinEncoder,JamesSteinEncoder,0.74,4.0
212,heart,cp,Nominal,JamesSteinEncoder,SumEncoder,0.74,4.0
213,heart,cp,Nominal,JamesSteinEncoder,HashingEncoder,0.74,4.0
214,heart,cp,Nominal,JamesSteinEncoder,LabelEncoder,0.74,4.0
215,heart,cp,Nominal,JamesSteinEncoder,TargetEncoder,0.74,4.0
216,heart,cp,Nominal,JamesSteinEncoder,HelmertEncoder,0.74,4.0
217,heart,cp,Nominal,JamesSteinEncoder,FrequencyEncoder,0.75,4.0
218,heart,cp,Nominal,JamesSteinEncoder,BaseNEncoder,0.74,4.0
219,heart,cp,Nominal,JamesSteinEncoder,OneHotEncoder,0.74,4.0
220,heart,cp,Nominal,SumEncoder,BinaryEncoder,0.74,4.0
221,heart,cp,Nominal,SumEncoder,JamesSteinEncoder,0.74,4.0
222,heart,cp,Nominal,SumEncoder,SumEncoder,0.74,4.0
223,heart,cp,Nominal,SumEncoder,HashingEncoder,0.74,4.0
224,heart,cp,Nominal,SumEncoder,LabelEncoder,0.74,4.0
225,heart,cp,Nominal,SumEncoder,TargetEncoder,0.74,4.0
226,heart,cp,Nominal,SumEncoder,HelmertEncoder,0.74,4.0
227,heart,cp,Nominal,SumEncoder,FrequencyEncoder,0.75,4.0
228,heart,cp,Nominal,SumEncoder,BaseNEncoder,0.74,4.0
229,heart,cp,Nominal,SumEncoder,OneHotEncoder,0.74,4.0
230,heart,cp,Nominal,HashingEncoder,BinaryEncoder,0.74,4.0
231,heart,cp,Nominal,HashingEncoder,JamesSteinEncoder,0.74,4.0
232,heart,cp,Nominal,HashingEncoder,SumEncoder,0.74,4.0
233,heart,cp,Nominal,HashingEncoder,HashingEncoder,0.74,4.0
234,heart,cp,Nominal,HashingEncoder,LabelEncoder,0.74,4.0
235,heart,cp,Nominal,HashingEncoder,TargetEncoder,0.74,4.0
236,heart,cp,Nominal,HashingEncoder,HelmertEncoder,0.74,4.0
237,heart,cp,Nominal,HashingEncoder,FrequencyEncoder,0.75,4.0
238,heart,cp,Nominal,HashingEncoder,BaseNEncoder,0.74,4.0
239,heart,cp,Nominal,HashingEncoder,OneHotEncoder,0.74,4.0
240,heart,cp,Nominal,LabelEncoder,BinaryEncoder,0.74,4.0
241,heart,cp,Nominal,LabelEncoder,JamesSteinEncoder,0.74,4.0
242,heart,cp,Nominal,LabelEncoder,SumEncoder,0.74,4.0
243,heart,cp,Nominal,LabelEncoder,HashingEncoder,0.74,4.0
244,heart,cp,Nominal,LabelEncoder,LabelEncoder,0.74,4.0
245,heart,cp,Nominal,LabelEncoder,TargetEncoder,0.74,4.0
246,heart,cp,Nominal,LabelEncoder,HelmertEncoder,0.74,4.0
247,heart,cp,Nominal,LabelEncoder,FrequencyEncoder,0.75,4.0
248,heart,cp,Nominal,LabelEncoder,BaseNEncoder,0.74,4.0
249,heart,cp,Nominal,LabelEncoder,OneHotEncoder,0.74,4.0
250,heart,cp,Nominal,TargetEncoder,BinaryEncoder,0.74,4.0
251,heart,cp,Nominal,TargetEncoder,JamesSteinEncoder,0.74,4.0
252,heart,cp,Nominal,TargetEncoder,SumEncoder,0.74,4.0
253,heart,cp,Nominal,TargetEncoder,HashingEncoder,0.74,4.0
254,heart,cp,Nominal,TargetEncoder,LabelEncoder,0.74,4.0
255,heart,cp,Nominal,TargetEncoder,TargetEncoder,0.74,4.0
256,heart,cp,Nominal,TargetEncoder,HelmertEncoder,0.74,4.0
257,heart,cp,Nominal,TargetEncoder,FrequencyEncoder,0.75,4.0
258,heart,cp,Nominal,TargetEncoder,BaseNEncoder,0.74,4.0
259,heart,cp,Nominal,TargetEncoder,OneHotEncoder,0.74,4.0
260,heart,cp,Nominal,HelmertEncoder,BinaryEncoder,0.74,4.0
261,heart,cp,Nominal,HelmertEncoder,JamesSteinEncoder,0.74,4.0
262,heart,cp,Nominal,HelmertEncoder,SumEncoder,0.74,4.0
263,heart,cp,Nominal,HelmertEncoder,HashingEncoder,0.74,4.0
264,heart,cp,Nominal,HelmertEncoder,LabelEncoder,0.74,4.0
265,heart,cp,Nominal,HelmertEncoder,TargetEncoder,0.74,4.0
266,heart,cp,Nominal,HelmertEncoder,HelmertEncoder,0.74,4.0
267,heart,cp,Nominal,HelmertEncoder,FrequencyEncoder,0.75,4.0
268,heart,cp,Nominal,HelmertEncoder,BaseNEncoder,0.74,4.0
269,heart,cp,Nominal,HelmertEncoder,OneHotEncoder,0.74,4.0
270,heart,cp,Nominal,FrequencyEncoder,BinaryEncoder,0.73,4.0
271,heart,cp,Nominal,FrequencyEncoder,JamesSteinEncoder,0.73,4.0
272,heart,cp,Nominal,FrequencyEncoder,SumEncoder,0.73,4.0
273,heart,cp,Nominal,FrequencyEncoder,HashingEncoder,0.73,4.0
274,heart,cp,Nominal,FrequencyEncoder,LabelEncoder,0.73,4.0
275,heart,cp,Nominal,FrequencyEncoder,TargetEncoder,0.73,4.0
276,heart,cp,Nominal,FrequencyEncoder,HelmertEncoder,0.73,4.0
277,heart,cp,Nominal,FrequencyEncoder,FrequencyEncoder,0.76,4.0
278,heart,cp,Nominal,FrequencyEncoder,BaseNEncoder,0.73,4.0
279,heart,cp,Nominal,FrequencyEncoder,OneHotEncoder,0.73,4.0
280,heart,cp,Nominal,BaseNEncoder,BinaryEncoder,0.74,4.0
281,heart,cp,Nominal,BaseNEncoder,JamesSteinEncoder,0.74,4.0
282,heart,cp,Nominal,BaseNEncoder,SumEncoder,0.74,4.0
283,heart,cp,Nominal,BaseNEncoder,HashingEncoder,0.74,4.0
284,heart,cp,Nominal,BaseNEncoder,LabelEncoder,0.74,4.0
285,heart,cp,Nominal,BaseNEncoder,TargetEncoder,0.74,4.0
286,heart,cp,Nominal,BaseNEncoder,HelmertEncoder,0.74,4.0
287,heart,cp,Nominal,BaseNEncoder,FrequencyEncoder,0.75,4.0
288,heart,cp,Nominal,BaseNEncoder,BaseNEncoder,0.74,4.0
289,heart,cp,Nominal,BaseNEncoder,OneHotEncoder,0.74,4.0
290,heart,cp,Nominal,OneHotEncoder,BinaryEncoder,0.74,4.0
291,heart,cp,Nominal,OneHotEncoder,JamesSteinEncoder,0.74,4.0
292,heart,cp,Nominal,OneHotEncoder,SumEncoder,0.74,4.0
293,heart,cp,Nominal,OneHotEncoder,HashingEncoder,0.74,4.0
294,heart,cp,Nominal,OneHotEncoder,LabelEncoder,0.74,4.0
295,heart,cp,Nominal,OneHotEncoder,TargetEncoder,0.74,4.0
296,heart,cp,Nominal,OneHotEncoder,HelmertEncoder,0.74,4.0
297,heart,cp,Nominal,OneHotEncoder,FrequencyEncoder,0.75,4.0
