,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Cardinality,Score,Roc_auc_score
77,Adult,education-num,Ordinal,HashingEncoder,HashingEncoder,16,0.7913428035379255,0.7252825177561093
78,Adult,education-num,Ordinal,HashingEncoder,BaseNEncoder,16,0.8032028946663093,0.7398893001885959
79,Adult,education-num,Ordinal,HashingEncoder,FrequencyEncoder,16,0.8075582953631734,0.7465102223024758
80,Adult,education-num,Ordinal,BaseNEncoder,LabelEncoder,16,0.7995845617796837,0.735394471530035
81,Adult,education-num,Ordinal,BaseNEncoder,OneHotEncoder,16,0.805481104261592,0.7445847628506079
82,Adult,education-num,Ordinal,BaseNEncoder,TargetEncoder,16,0.8110426159206647,0.7496432476626138
83,Adult,education-num,Ordinal,BaseNEncoder,HelmertEncoder,16,0.8052800857678907,0.7461785492155211
84,Adult,education-num,Ordinal,BaseNEncoder,BinaryEncoder,16,0.8032028946663093,0.7398893001885959
85,Adult,education-num,Ordinal,BaseNEncoder,SumEncoder,16,0.8084963816671134,0.747769827655391
86,Adult,education-num,Ordinal,BaseNEncoder,JamesSteinEncoder,16,0.8111096220852319,0.7496877633321295
87,Adult,education-num,Ordinal,BaseNEncoder,HashingEncoder,16,0.7913428035379255,0.7252825177561093
88,Adult,education-num,Ordinal,BaseNEncoder,BaseNEncoder,16,0.8032028946663093,0.7398893001885959
89,Adult,education-num,Ordinal,BaseNEncoder,FrequencyEncoder,16,0.8075582953631734,0.7465102223024758
90,Adult,education-num,Ordinal,FrequencyEncoder,LabelEncoder,16,0.800187617260788,0.7370678845150676
91,Adult,education-num,Ordinal,FrequencyEncoder,OneHotEncoder,16,0.8101045296167247,0.7498382388347177
92,Adult,education-num,Ordinal,FrequencyEncoder,TargetEncoder,16,0.8107745912623961,0.7493742727017374
93,Adult,education-num,Ordinal,FrequencyEncoder,HelmertEncoder,16,0.8115786652372018,0.7537267766141005
94,Adult,education-num,Ordinal,FrequencyEncoder,BinaryEncoder,16,0.8027338515143393,0.74139593615826
95,Adult,education-num,Ordinal,FrequencyEncoder,SumEncoder,16,0.810238541945859,0.7512000421331407
96,Adult,education-num,Ordinal,FrequencyEncoder,JamesSteinEncoder,16,0.8107745912623961,0.7493742727017374
97,Adult,education-num,Ordinal,FrequencyEncoder,HashingEncoder,16,0.7884615384615384,0.7256411510372778
98,Adult,education-num,Ordinal,FrequencyEncoder,BaseNEncoder,16,0.8027338515143393,0.74139593615826
99,Adult,education-num,Ordinal,FrequencyEncoder,FrequencyEncoder,16,0.8076923076923077,0.7449628325508607
100,Adult,workclass,Nominal,LabelEncoder,LabelEncoder,7,0.8009916912355937,0.7365111251554913
101,Adult,workclass,Nominal,LabelEncoder,OneHotEncoder,7,0.8044090056285178,0.7444179858352392
102,Adult,workclass,Nominal,LabelEncoder,TargetEncoder,7,0.8090994371482176,0.7475340827013361
103,Adult,workclass,Nominal,LabelEncoder,HelmertEncoder,7,0.8068212275529348,0.7459296376549898
104,Adult,workclass,Nominal,LabelEncoder,BinaryEncoder,7,0.8079603323505763,0.7455045443601782
105,Adult,workclass,Nominal,LabelEncoder,SumEncoder,7,0.8062851782363978,0.7452098631676097
106,Adult,workclass,Nominal,LabelEncoder,JamesSteinEncoder,7,0.8091664433127848,0.7475785983708518
107,Adult,workclass,Nominal,LabelEncoder,HashingEncoder,7,0.7999195926025194,0.7331624182416436
108,Adult,workclass,Nominal,LabelEncoder,BaseNEncoder,7,0.8079603323505763,0.7455045443601782
109,Adult,workclass,Nominal,LabelEncoder,FrequencyEncoder,7,0.8058161350844277,0.7410799376028249
