,DataSetName,ColumnName,ColumnType,Encoder,EncoderForOthers,Score
111,titanic,Name,Nominal,OneHotEncoder,LabelEncoder,0.8101694915254237
112,titanic,Name,Nominal,OneHotEncoder,OneHotEncoder,0.8305084745762712
113,titanic,Name,Nominal,OneHotEncoder,BinaryEncoder,0.8169491525423729
114,titanic,Name,Nominal,OneHotEncoder,FrequencyEncoder,0.8067796610169492
115,titanic,Name,Nominal,BinaryEncoder,HashingEncoder,0.6983050847457627
116,titanic,Name,Nominal,BinaryEncoder,LabelEncoder,0.8101694915254237
117,titanic,Name,Nominal,BinaryEncoder,OneHotEncoder,0.8271186440677966
118,titanic,Name,Nominal,BinaryEncoder,BinaryEncoder,0.823728813559322
119,titanic,Name,Nominal,BinaryEncoder,FrequencyEncoder,0.8135593220338984
120,titanic,Name,Nominal,FrequencyEncoder,HashingEncoder,0.6983050847457627
121,titanic,Name,Nominal,FrequencyEncoder,LabelEncoder,0.8101694915254237
122,titanic,Name,Nominal,FrequencyEncoder,OneHotEncoder,0.8305084745762712
123,titanic,Name,Nominal,FrequencyEncoder,BinaryEncoder,0.8169491525423729
124,titanic,Name,Nominal,FrequencyEncoder,FrequencyEncoder,0.8135593220338984
125,titanic,Sex,Nominal,HashingEncoder,HashingEncoder,0.6949152542372882
126,titanic,Sex,Nominal,HashingEncoder,LabelEncoder,0.7254237288135593
127,titanic,Sex,Nominal,HashingEncoder,OneHotEncoder,0.7322033898305085
128,titanic,Sex,Nominal,HashingEncoder,BinaryEncoder,0.6779661016949152
129,titanic,Sex,Nominal,HashingEncoder,FrequencyEncoder,0.6847457627118644
130,titanic,Sex,Nominal,LabelEncoder,HashingEncoder,0.8
131,titanic,Sex,Nominal,LabelEncoder,LabelEncoder,0.8101694915254237
132,titanic,Sex,Nominal,LabelEncoder,OneHotEncoder,0.8271186440677966
133,titanic,Sex,Nominal,LabelEncoder,BinaryEncoder,0.8203389830508474
134,titanic,Sex,Nominal,LabelEncoder,FrequencyEncoder,0.8033898305084746
135,titanic,Sex,Nominal,OneHotEncoder,HashingEncoder,0.8
136,titanic,Sex,Nominal,OneHotEncoder,LabelEncoder,0.8101694915254237
137,titanic,Sex,Nominal,OneHotEncoder,OneHotEncoder,0.8305084745762712
138,titanic,Sex,Nominal,OneHotEncoder,BinaryEncoder,0.823728813559322
139,titanic,Sex,Nominal,OneHotEncoder,FrequencyEncoder,0.8
140,titanic,Sex,Nominal,BinaryEncoder,HashingEncoder,0.8
141,titanic,Sex,Nominal,BinaryEncoder,LabelEncoder,0.8101694915254237
142,titanic,Sex,Nominal,BinaryEncoder,OneHotEncoder,0.8305084745762712
143,titanic,Sex,Nominal,BinaryEncoder,BinaryEncoder,0.823728813559322
144,titanic,Sex,Nominal,BinaryEncoder,FrequencyEncoder,0.8
145,titanic,Sex,Nominal,FrequencyEncoder,HashingEncoder,0.7864406779661017
146,titanic,Sex,Nominal,FrequencyEncoder,LabelEncoder,0.8
147,titanic,Sex,Nominal,FrequencyEncoder,OneHotEncoder,0.8169491525423729
148,titanic,Sex,Nominal,FrequencyEncoder,BinaryEncoder,0.7593220338983051
149,titanic,Sex,Nominal,FrequencyEncoder,FrequencyEncoder,0.8135593220338984
150,titanic,Cabin,Nominal,HashingEncoder,HashingEncoder,0.6915254237288135
151,titanic,Cabin,Nominal,HashingEncoder,LabelEncoder,0.8033898305084746
152,titanic,Cabin,Nominal,HashingEncoder,OneHotEncoder,0.8203389830508474
153,titanic,Cabin,Nominal,HashingEncoder,BinaryEncoder,0.8101694915254237
154,titanic,Cabin,Nominal,HashingEncoder,FrequencyEncoder,0.8169491525423729
155,titanic,Cabin,Nominal,LabelEncoder,HashingEncoder,0.6949152542372882
156,titanic,Cabin,Nominal,LabelEncoder,LabelEncoder,0.8101694915254237
157,titanic,Cabin,Nominal,LabelEncoder,OneHotEncoder,0.8135593220338984
158,titanic,Cabin,Nominal,LabelEncoder,BinaryEncoder,0.8101694915254237
159,titanic,Cabin,Nominal,LabelEncoder,FrequencyEncoder,0.8169491525423729
160,titanic,Cabin,Nominal,OneHotEncoder,HashingEncoder,0.711864406779661
161,titanic,Cabin,Nominal,OneHotEncoder,LabelEncoder,0.8067796610169492
162,titanic,Cabin,Nominal,OneHotEncoder,OneHotEncoder,0.8305084745762712
163,titanic,Cabin,Nominal,OneHotEncoder,BinaryEncoder,0.8101694915254237
164,titanic,Cabin,Nominal,OneHotEncoder,FrequencyEncoder,0.8135593220338984
165,titanic,Cabin,Nominal,BinaryEncoder,HashingEncoder,0.6779661016949152
166,titanic,Cabin,Nominal,BinaryEncoder,LabelEncoder,0.8101694915254237
167,titanic,Cabin,Nominal,BinaryEncoder,OneHotEncoder,0.8169491525423729
168,titanic,Cabin,Nominal,BinaryEncoder,BinaryEncoder,0.823728813559322
169,titanic,Cabin,Nominal,BinaryEncoder,FrequencyEncoder,0.8135593220338984
170,titanic,Cabin,Nominal,FrequencyEncoder,HashingEncoder,0.6949152542372882
171,titanic,Cabin,Nominal,FrequencyEncoder,LabelEncoder,0.8033898305084746
172,titanic,Cabin,Nominal,FrequencyEncoder,OneHotEncoder,0.8203389830508474
173,titanic,Cabin,Nominal,FrequencyEncoder,BinaryEncoder,0.8101694915254237
174,titanic,Cabin,Nominal,FrequencyEncoder,FrequencyEncoder,0.8135593220338984
175,car1,buying,Nominal,HashingEncoder,HashingEncoder,0.3140350877192982
176,car1,buying,Nominal,HashingEncoder,LabelEncoder,0.32456140350877194
177,car1,buying,Nominal,HashingEncoder,OneHotEncoder,0.2894736842105263
178,car1,buying,Nominal,HashingEncoder,BinaryEncoder,0.30701754385964913
179,car1,buying,Nominal,HashingEncoder,FrequencyEncoder,0.30526315789473685
180,car1,buying,Nominal,LabelEncoder,HashingEncoder,0.3192982456140351
181,car1,buying,Nominal,LabelEncoder,LabelEncoder,0.3087719298245614
182,car1,buying,Nominal,LabelEncoder,OneHotEncoder,0.29473684210526313
183,car1,buying,Nominal,LabelEncoder,BinaryEncoder,0.3140350877192982
184,car1,buying,Nominal,LabelEncoder,FrequencyEncoder,0.2964912280701754
185,car1,buying,Nominal,OneHotEncoder,HashingEncoder,0.2736842105263158
186,car1,buying,Nominal,OneHotEncoder,LabelEncoder,0.2894736842105263
187,car1,buying,Nominal,OneHotEncoder,OneHotEncoder,0.2771929824561403
188,car1,buying,Nominal,OneHotEncoder,BinaryEncoder,0.2719298245614035
189,car1,buying,Nominal,OneHotEncoder,FrequencyEncoder,0.28771929824561404
190,car1,buying,Nominal,BinaryEncoder,HashingEncoder,0.28421052631578947
191,car1,buying,Nominal,BinaryEncoder,LabelEncoder,0.28596491228070176
192,car1,buying,Nominal,BinaryEncoder,OneHotEncoder,0.2771929824561403
193,car1,buying,Nominal,BinaryEncoder,BinaryEncoder,0.27017543859649124
194,car1,buying,Nominal,BinaryEncoder,FrequencyEncoder,0.2894736842105263
195,car1,buying,Nominal,FrequencyEncoder,HashingEncoder,0.3192982456140351
196,car1,buying,Nominal,FrequencyEncoder,LabelEncoder,0.32105263157894737
197,car1,buying,Nominal,FrequencyEncoder,OneHotEncoder,0.3017543859649123
198,car1,buying,Nominal,FrequencyEncoder,BinaryEncoder,0.3087719298245614
199,car1,buying,Nominal,FrequencyEncoder,FrequencyEncoder,0.3087719298245614
200,car1,lug_boot,Ordinal,HashingEncoder,HashingEncoder,0.30701754385964913
201,car1,lug_boot,Ordinal,HashingEncoder,LabelEncoder,0.3157894736842105
202,car1,lug_boot,Ordinal,HashingEncoder,OneHotEncoder,0.2754385964912281
203,car1,lug_boot,Ordinal,HashingEncoder,BinaryEncoder,0.2789473684210526
204,car1,lug_boot,Ordinal,HashingEncoder,FrequencyEncoder,0.30350877192982456
205,car1,lug_boot,Ordinal,LabelEncoder,HashingEncoder,0.3
206,car1,lug_boot,Ordinal,LabelEncoder,LabelEncoder,0.3087719298245614
207,car1,lug_boot,Ordinal,LabelEncoder,OneHotEncoder,0.26842105263157895
208,car1,lug_boot,Ordinal,LabelEncoder,BinaryEncoder,0.2754385964912281
209,car1,lug_boot,Ordinal,LabelEncoder,FrequencyEncoder,0.3157894736842105
210,car1,lug_boot,Ordinal,OneHotEncoder,HashingEncoder,0.3
211,car1,lug_boot,Ordinal,OneHotEncoder,LabelEncoder,0.2912280701754386
212,car1,lug_boot,Ordinal,OneHotEncoder,OneHotEncoder,0.2771929824561403
213,car1,lug_boot,Ordinal,OneHotEncoder,BinaryEncoder,0.26842105263157895
214,car1,lug_boot,Ordinal,OneHotEncoder,FrequencyEncoder,0.3
215,car1,lug_boot,Ordinal,BinaryEncoder,HashingEncoder,0.2964912280701754
216,car1,lug_boot,Ordinal,BinaryEncoder,LabelEncoder,0.2912280701754386
217,car1,lug_boot,Ordinal,BinaryEncoder,OneHotEncoder,0.2789473684210526
218,car1,lug_boot,Ordinal,BinaryEncoder,BinaryEncoder,0.27017543859649124
219,car1,lug_boot,Ordinal,BinaryEncoder,FrequencyEncoder,0.2982456140350877
220,car1,lug_boot,Ordinal,FrequencyEncoder,HashingEncoder,0.2894736842105263
221,car1,lug_boot,Ordinal,FrequencyEncoder,LabelEncoder,0.3105263157894737
222,car1,lug_boot,Ordinal,FrequencyEncoder,OneHotEncoder,0.2719298245614035
223,car1,lug_boot,Ordinal,FrequencyEncoder,BinaryEncoder,0.2807017543859649
224,car1,lug_boot,Ordinal,FrequencyEncoder,FrequencyEncoder,0.3087719298245614
225,car1,maint,Ordinal,HashingEncoder,HashingEncoder,0.3175438596491228
226,car1,maint,Ordinal,HashingEncoder,LabelEncoder,0.30350877192982456
227,car1,maint,Ordinal,HashingEncoder,OneHotEncoder,0.2789473684210526
228,car1,maint,Ordinal,HashingEncoder,BinaryEncoder,0.2807017543859649
229,car1,maint,Ordinal,HashingEncoder,FrequencyEncoder,0.29473684210526313
230,car1,maint,Ordinal,LabelEncoder,HashingEncoder,0.30526315789473685
231,car1,maint,Ordinal,LabelEncoder,LabelEncoder,0.3087719298245614
232,car1,maint,Ordinal,LabelEncoder,OneHotEncoder,0.2982456140350877
233,car1,maint,Ordinal,LabelEncoder,BinaryEncoder,0.28771929824561404
234,car1,maint,Ordinal,LabelEncoder,FrequencyEncoder,0.3105263157894737
235,car1,maint,Ordinal,OneHotEncoder,HashingEncoder,0.30526315789473685
236,car1,maint,Ordinal,OneHotEncoder,LabelEncoder,0.312280701754386
237,car1,maint,Ordinal,OneHotEncoder,OneHotEncoder,0.2771929824561403
238,car1,maint,Ordinal,OneHotEncoder,BinaryEncoder,0.2736842105263158
239,car1,maint,Ordinal,OneHotEncoder,FrequencyEncoder,0.29473684210526313
240,car1,maint,Ordinal,BinaryEncoder,HashingEncoder,0.3175438596491228
241,car1,maint,Ordinal,BinaryEncoder,LabelEncoder,0.32105263157894737
242,car1,maint,Ordinal,BinaryEncoder,OneHotEncoder,0.2719298245614035
243,car1,maint,Ordinal,BinaryEncoder,BinaryEncoder,0.27017543859649124
244,car1,maint,Ordinal,BinaryEncoder,FrequencyEncoder,0.30526315789473685
245,car1,maint,Ordinal,FrequencyEncoder,HashingEncoder,0.30701754385964913
246,car1,maint,Ordinal,FrequencyEncoder,LabelEncoder,0.3192982456140351
247,car1,maint,Ordinal,FrequencyEncoder,OneHotEncoder,0.2771929824561403
248,car1,maint,Ordinal,FrequencyEncoder,BinaryEncoder,0.2807017543859649
249,car1,maint,Ordinal,FrequencyEncoder,FrequencyEncoder,0.3087719298245614
250,adult,education-num,Ordinal,HashingEncoder,HashingEncoder,0.82263468239078
251,adult,education-num,Ordinal,HashingEncoder,LabelEncoder,0.8192173679978558
252,adult,education-num,Ordinal,HashingEncoder,OneHotEncoder,0.8493701420530689
253,adult,education-num,Ordinal,HashingEncoder,BinaryEncoder,0.8441436612168319
254,adult,education-num,Ordinal,HashingEncoder,FrequencyEncoder,0.8332216563923881
255,adult,education-num,Ordinal,LabelEncoder,HashingEncoder,0.7933529884749397
256,adult,education-num,Ordinal,LabelEncoder,LabelEncoder,0.7963682658804611
257,adult,education-num,Ordinal,LabelEncoder,OneHotEncoder,0.8492361297239346
258,adult,education-num,Ordinal,LabelEncoder,BinaryEncoder,0.8350308228357008
259,adult,education-num,Ordinal,LabelEncoder,FrequencyEncoder,0.8133878316805147
260,adult,education-num,Ordinal,OneHotEncoder,HashingEncoder,0.82263468239078
261,adult,education-num,Ordinal,OneHotEncoder,LabelEncoder,0.8192173679978558
262,adult,education-num,Ordinal,OneHotEncoder,OneHotEncoder,0.8493701420530689
263,adult,education-num,Ordinal,OneHotEncoder,BinaryEncoder,0.8441436612168319
264,adult,education-num,Ordinal,OneHotEncoder,FrequencyEncoder,0.8332216563923881
265,adult,education-num,Ordinal,BinaryEncoder,HashingEncoder,0.82263468239078
266,adult,education-num,Ordinal,BinaryEncoder,LabelEncoder,0.8192173679978558
267,adult,education-num,Ordinal,BinaryEncoder,OneHotEncoder,0.8493701420530689
268,adult,education-num,Ordinal,BinaryEncoder,BinaryEncoder,0.8441436612168319
269,adult,education-num,Ordinal,BinaryEncoder,FrequencyEncoder,0.8332216563923881
270,adult,education-num,Ordinal,FrequencyEncoder,HashingEncoder,0.7946261056017153
271,adult,education-num,Ordinal,FrequencyEncoder,LabelEncoder,0.7970383275261324
272,adult,education-num,Ordinal,FrequencyEncoder,OneHotEncoder,0.8491691235593675
273,adult,education-num,Ordinal,FrequencyEncoder,BinaryEncoder,0.8376440632538193
274,adult,education-num,Ordinal,FrequencyEncoder,FrequencyEncoder,0.8092334494773519
275,adult,occupation,Nominal,HashingEncoder,HashingEncoder,0.8261860091128383
276,adult,occupation,Nominal,HashingEncoder,LabelEncoder,0.8074242830340391
277,adult,occupation,Nominal,HashingEncoder,OneHotEncoder,0.847024926293219
278,adult,occupation,Nominal,HashingEncoder,BinaryEncoder,0.8438086303939962
279,adult,occupation,Nominal,HashingEncoder,FrequencyEncoder,0.8207585097829
280,adult,occupation,Nominal,LabelEncoder,HashingEncoder,0.8218976145805414
281,adult,occupation,Nominal,LabelEncoder,LabelEncoder,0.7963682658804611
282,adult,occupation,Nominal,LabelEncoder,OneHotEncoder,0.8438086303939962
283,adult,occupation,Nominal,LabelEncoder,BinaryEncoder,0.8394532296971321
284,adult,occupation,Nominal,LabelEncoder,FrequencyEncoder,0.7983784508174752
285,adult,occupation,Nominal,OneHotEncoder,HashingEncoder,0.8294693111766283
286,adult,occupation,Nominal,OneHotEncoder,LabelEncoder,0.8162690967569016
287,adult,occupation,Nominal,OneHotEncoder,OneHotEncoder,0.8493031358885017
288,adult,occupation,Nominal,OneHotEncoder,BinaryEncoder,0.8464888769766818
289,adult,occupation,Nominal,OneHotEncoder,FrequencyEncoder,0.8332216563923881
290,adult,occupation,Nominal,BinaryEncoder,HashingEncoder,0.826521039935674
291,adult,occupation,Nominal,BinaryEncoder,LabelEncoder,0.8026668453497722
292,adult,occupation,Nominal,BinaryEncoder,OneHotEncoder,0.8466898954703833
293,adult,occupation,Nominal,BinaryEncoder,BinaryEncoder,0.8441436612168319
294,adult,occupation,Nominal,BinaryEncoder,FrequencyEncoder,0.8123157330474403
295,adult,occupation,Nominal,FrequencyEncoder,HashingEncoder,0.8238407933529884
296,adult,occupation,Nominal,FrequencyEncoder,LabelEncoder,0.8030018761726079
297,adult,occupation,Nominal,FrequencyEncoder,OneHotEncoder,0.845617796837309
298,adult,occupation,Nominal,FrequencyEncoder,BinaryEncoder,0.8421334762798177
299,adult,occupation,Nominal,FrequencyEncoder,FrequencyEncoder,0.8092334494773519
300,adult,race,Nominal,HashingEncoder,HashingEncoder,0.8218306084159742
301,adult,race,Nominal,HashingEncoder,LabelEncoder,0.7969043151969981
302,adult,race,Nominal,HashingEncoder,OneHotEncoder,0.8495711605467703
303,adult,race,Nominal,HashingEncoder,BinaryEncoder,0.8445456982042348
304,adult,race,Nominal,HashingEncoder,FrequencyEncoder,0.8095684803001876
305,adult,race,Nominal,LabelEncoder,HashingEncoder,0.82263468239078
306,adult,race,Nominal,LabelEncoder,LabelEncoder,0.7963682658804611
307,adult,race,Nominal,LabelEncoder,OneHotEncoder,0.849437148217636
308,adult,race,Nominal,LabelEncoder,BinaryEncoder,0.8442776735459663
309,adult,race,Nominal,LabelEncoder,FrequencyEncoder,0.808831412489949
310,adult,race,Nominal,OneHotEncoder,HashingEncoder,0.8229027070490486
311,adult,race,Nominal,OneHotEncoder,LabelEncoder,0.7970383275261324
312,adult,race,Nominal,OneHotEncoder,OneHotEncoder,0.8493031358885017
313,adult,race,Nominal,OneHotEncoder,BinaryEncoder,0.8443446797105334
314,adult,race,Nominal,OneHotEncoder,FrequencyEncoder,0.8090994371482176
315,adult,race,Nominal,BinaryEncoder,HashingEncoder,0.8229027070490486
316,adult,race,Nominal,BinaryEncoder,LabelEncoder,0.7971053336906996
317,adult,race,Nominal,BinaryEncoder,OneHotEncoder,0.8495711605467703
318,adult,race,Nominal,BinaryEncoder,BinaryEncoder,0.844210667381399
319,adult,race,Nominal,BinaryEncoder,FrequencyEncoder,0.8090994371482176
320,adult,race,Nominal,FrequencyEncoder,HashingEncoder,0.8229027070490486
321,adult,race,Nominal,FrequencyEncoder,LabelEncoder,0.7964352720450282
322,adult,race,Nominal,FrequencyEncoder,OneHotEncoder,0.849437148217636
323,adult,race,Nominal,FrequencyEncoder,BinaryEncoder,0.8434735995711605
324,adult,race,Nominal,FrequencyEncoder,FrequencyEncoder,0.8092334494773519
325,adult,relationship,Nominal,HashingEncoder,HashingEncoder,0.8324175824175825
326,adult,relationship,Nominal,HashingEncoder,LabelEncoder,0.801594746716698
327,adult,relationship,Nominal,HashingEncoder,OneHotEncoder,0.8497721790404718
328,adult,relationship,Nominal,HashingEncoder,BinaryEncoder,0.8433395872420263
329,adult,relationship,Nominal,HashingEncoder,FrequencyEncoder,0.8109086035915304
330,adult,relationship,Nominal,LabelEncoder,HashingEncoder,0.8247788796569284
331,adult,relationship,Nominal,LabelEncoder,LabelEncoder,0.7963682658804611
332,adult,relationship,Nominal,LabelEncoder,OneHotEncoder,0.8492361297239346
333,adult,relationship,Nominal,LabelEncoder,BinaryEncoder,0.843674618064862
334,adult,relationship,Nominal,LabelEncoder,FrequencyEncoder,0.8078933261860091
