,DataSetName,NominalEncoder,OrdinalEncoder,Score
168,titanic,BinaryEncoder,TargetEncoder,0.7694915254237288
169,titanic,BinaryEncoder,HashingEncoder,0.7694915254237288
170,titanic,FrequencyEncoder,JamesSteinEncoder,0.7389830508474576
171,titanic,FrequencyEncoder,BaseNEncoder,0.7389830508474576
172,titanic,FrequencyEncoder,HelmertEncoder,0.7389830508474576
173,titanic,FrequencyEncoder,SumEncoder,0.7389830508474576
174,titanic,FrequencyEncoder,OneHotEncoder,0.7389830508474576
175,titanic,FrequencyEncoder,LabelEncoder,0.7389830508474576
176,titanic,FrequencyEncoder,BinaryEncoder,0.7389830508474576
177,titanic,FrequencyEncoder,FrequencyEncoder,0.752542372881356
178,titanic,FrequencyEncoder,TargetEncoder,0.7389830508474576
179,titanic,FrequencyEncoder,HashingEncoder,0.7389830508474576
180,titanic,TargetEncoder,JamesSteinEncoder,0.847457627118644
181,titanic,TargetEncoder,BaseNEncoder,0.847457627118644
182,titanic,TargetEncoder,HelmertEncoder,0.847457627118644
183,titanic,TargetEncoder,SumEncoder,0.847457627118644
184,titanic,TargetEncoder,OneHotEncoder,0.847457627118644
185,titanic,TargetEncoder,LabelEncoder,0.847457627118644
186,titanic,TargetEncoder,BinaryEncoder,0.847457627118644
187,titanic,TargetEncoder,FrequencyEncoder,0.847457627118644
188,titanic,TargetEncoder,TargetEncoder,0.847457627118644
189,titanic,TargetEncoder,HashingEncoder,0.847457627118644
190,titanic,HashingEncoder,JamesSteinEncoder,0.6508474576271186
191,titanic,HashingEncoder,BaseNEncoder,0.6508474576271186
192,titanic,HashingEncoder,HelmertEncoder,0.6508474576271186
193,titanic,HashingEncoder,SumEncoder,0.6508474576271186
194,titanic,HashingEncoder,OneHotEncoder,0.6508474576271186
195,titanic,HashingEncoder,LabelEncoder,0.6508474576271186
196,titanic,HashingEncoder,BinaryEncoder,0.6508474576271186
197,titanic,HashingEncoder,FrequencyEncoder,0.6508474576271186
198,titanic,HashingEncoder,TargetEncoder,0.6508474576271186
199,titanic,HashingEncoder,HashingEncoder,0.6508474576271186
200,adult,JamesSteinEncoder,JamesSteinEncoder,0.8108415974269633
201,adult,JamesSteinEncoder,BaseNEncoder,0.8127177700348432
202,adult,JamesSteinEncoder,HelmertEncoder,0.8101045296167247
203,adult,JamesSteinEncoder,SumEncoder,0.8093674618064862
204,adult,JamesSteinEncoder,OneHotEncoder,0.8086974001608148
205,adult,JamesSteinEncoder,LabelEncoder,0.8103055481104262
206,adult,JamesSteinEncoder,BinaryEncoder,0.8127177700348432
207,adult,JamesSteinEncoder,FrequencyEncoder,0.8086974001608148
208,adult,JamesSteinEncoder,TargetEncoder,0.8108415974269633
209,adult,JamesSteinEncoder,HashingEncoder,0.8109086035915304
210,adult,BaseNEncoder,JamesSteinEncoder,0.802599839185205
211,adult,BaseNEncoder,BaseNEncoder,0.8066202090592335
212,adult,BaseNEncoder,HelmertEncoder,0.801594746716698
213,adult,BaseNEncoder,SumEncoder,0.8007236665773251
214,adult,BaseNEncoder,OneHotEncoder,0.8007236665773251
215,adult,BaseNEncoder,LabelEncoder,0.8034709193245778
216,adult,BaseNEncoder,BinaryEncoder,0.8066202090592335
217,adult,BaseNEncoder,FrequencyEncoder,0.8022648083623694
218,adult,BaseNEncoder,TargetEncoder,0.802599839185205
219,adult,BaseNEncoder,HashingEncoder,0.803068882337175
220,adult,HelmertEncoder,JamesSteinEncoder,0.8110426159206647
221,adult,HelmertEncoder,BaseNEncoder,0.811176628249799
222,adult,HelmertEncoder,HelmertEncoder,0.8098365049584562
223,adult,HelmertEncoder,SumEncoder,0.8086303939962477
224,adult,HelmertEncoder,OneHotEncoder,0.8107745912623961
225,adult,HelmertEncoder,LabelEncoder,0.8097024926293219
226,adult,HelmertEncoder,BinaryEncoder,0.811176628249799
227,adult,HelmertEncoder,FrequencyEncoder,0.8085633878316805
228,adult,HelmertEncoder,TargetEncoder,0.8110426159206647
229,adult,HelmertEncoder,HashingEncoder,0.8099705172875905
230,adult,SumEncoder,JamesSteinEncoder,0.8096354864647548
231,adult,SumEncoder,BaseNEncoder,0.8066202090592335
232,adult,SumEncoder,HelmertEncoder,0.8089654248190834
233,adult,SumEncoder,SumEncoder,0.8066872152238006
234,adult,SumEncoder,OneHotEncoder,0.8079603323505763
235,adult,SumEncoder,LabelEncoder,0.808295363173412
236,adult,SumEncoder,BinaryEncoder,0.8066202090592335
237,adult,SumEncoder,FrequencyEncoder,0.8081613508442776
238,adult,SumEncoder,TargetEncoder,0.8096354864647548
239,adult,SumEncoder,HashingEncoder,0.8090324309836505
240,adult,OneHotEncoder,JamesSteinEncoder,0.806888233717502
241,adult,OneHotEncoder,BaseNEncoder,0.8061511659072634
242,adult,OneHotEncoder,HelmertEncoder,0.806888233717502
243,adult,OneHotEncoder,SumEncoder,0.8072232645403377
244,adult,OneHotEncoder,OneHotEncoder,0.8071562583757705
245,adult,OneHotEncoder,LabelEncoder,0.8079603323505763
246,adult,OneHotEncoder,BinaryEncoder,0.8061511659072634
